Year	Dataset Name	Anatomy (Brain, Head, Neck, Eye, Cell, Chest, Heart, Abdomen, Pelvis, Vessel, Skin)	Modality	Segmentation Targets	# images	License	Data	Paper links	Note	bib
2022	WORD	Abdomen	CT	Abdomen organs	170	GNU General Public License v3.0	https://github.com/HiLab-git/WORD	https://www.sciencedirect.com/science/article/pii/S1361841522002705	Authors are very responsive for data request	@article{luo2022word,   title={WORD: A large scale dataset, benchmark and clinical applicable study for abdominal organ segmentation from CT image},   author={Luo, Xiangde and Liao, Wenjun and Xiao, Jianghong and Chen, Jieneng and Song, Tao and Zhang, Xiaofan and Li, Kang and Metaxas, Dimitris N and Wang, Guotai and Zhang, Shaoting},   journal={Medical Image Analysis},   volume={82},   pages={102642},   year={2022} }
2020	Adrenal-ACC-Ki67-Seg	Abdomen	CT	Adrenocortical carcinoma	53	CC BY 4.0	https://doi.org/10.7937/1FPG-VM46	https://doi.org/10.1016/j.crad.2020.01.012	Included in training set	@article{ahmed2020radiomic,   title={Radiomic mapping model for prediction of Ki-67 expression in adrenocortical carcinoma},   author={Ahmed, AA and Elmohr, MM and Fuentes, D and Habra, MA and Fisher, SB and Perrier, ND and Zhang, M and Elsayes, KM},   journal={Clinical Radiology},   volume={75},   number={6},   pages={479--e17},   year={2020} }
2021	KiTS23	Abdomen	CT	Kidney Lesion	489	CC BY-NC-SA	https://kits-challenge.org/kits23/	https://doi.org/10.1016/j.media.2020.101821	Included in training set	@article{heller2021state,   title={The state of the art in kidney and kidney tumor segmentation in contrast-enhanced CT imaging: Results of the KiTS19 challenge},   author={Heller, Nicholas and Isensee, Fabian and Maier-Hein, Klaus H and Hou, Xiaoshuai and Xie, Chunmei and Li, Fengyi and Nan, Yang and Mu, Guangrui and Lin, Zhiyong and Han, Miofei and others},   journal={Medical Image Analysis},   volume={67},   pages={101821},   year={2021} }
2023	Colorectal-Liver_Metastases	Abdomen	CT	Liver, Colorectal Liver Metastases	197	CC BY 4.0	COLORECTAL-LIVER-METASTASES - The Cancer Imaging Archive (TCIA)	https://doi.org/10.1038/s41597-024-02981-2		@article{simpson2024preoperative,   title={Preoperative CT and survival data for patients undergoing resection of colorectal liver metastases},   author={Simpson, Amber L and Peoples, Jacob and Creasy, John M and Fichtinger, Gabor and Gangai, Natalie and Keshavamurthy, Krishna N and Lasso, Andras and Shia, Jinru and D’Angelica, Michael I and Do, Richard KG},   journal={Scientific Data},   volume={11},   number={1},   pages={172},   year={2024} }
2022	AbdomenCT-1K	Abdomen	CT	Liver, Kidneys, Pancreas, Spleen	1056	CC-BY-NC	https://github.com/JunMa11/AbdomenCT-1K 	https://ieeexplore.ieee.org/document/9497733	Included in training set	@article{Ma-2021-AbdomenCT-1K,   author={Ma, Jun and Zhang, Yao and Gu, Song and Zhu, Cheng and Ge, Cheng and Zhang, Yichi and An, Xingle and Wang, Congcong and Wang, Qiyuan and Liu, Xin and Cao, Shucheng and Zhang, Qi and Liu, Shangqing and Wang, Yunpeng and Li, Yuhui and He, Jian and Yang, Xiaoping},   journal={IEEE Transactions on Pattern Analysis and Machine Intelligence},    title={AbdomenCT-1K: Is Abdominal Organ Segmentation a Solved Problem?},    year={2022},   volume={44},   number={10},   pages={6695-6714} }  @article{FLARE21-MIA, title = {Fast and Low-GPU-memory abdomen CT organ segmentation: The FLARE challenge}, author = {Jun Ma and Yao Zhang and Song Gu and Xingle An and Zhihe Wang and Cheng Ge and Congcong Wang and Fan Zhang and Yu Wang and Yinan Xu and Shuiping Gou and Franz Thaler and Christian Payer and Darko Štern and Edward G.A. Henderson and Dónal M. McSweeney and Andrew Green and Price Jackson and Lachlan McIntosh and Quoc-Cuong Nguyen and Abdul Qayyum and Pierre-Henri Conze and Ziyan Huang and Ziqi Zhou and Deng-Ping Fan and Huan Xiong and Guoqiang Dong and Qiongjie Zhu and Jian He and Xiaoping Yang}, journal = {Medical Image Analysis}, pages = {102616}, volume = {82}, year =  {2022} }
2022	AMOS	Abdomen	CT	15 abdominal organs	500	CC BY NC	https://amos22.grand-challenge.org/	https://openreview.net/forum?id=Vk4-HUnkEak	Included in training set	@article{ji2022amos,   title={AMOS: A Large-Scale Abdominal Multi-Organ Benchmark for Versatile Medical Image Segmentation},   author={Ji, Yuanfeng and Bai, Haotian and Yang, Jie and Ge, Chongjian and Zhu, Ye and Zhang, Ruimao and Li, Zhen and Zhang, Lingyan and Ma, Wanling and Wan, Xiang and others},   journal={arXiv preprint arXiv:2206.08023},   year={2022} }
2022	AMOS	Abdomen	MR	15 abdominal organs	60	CC BY NC	https://amos22.grand-challenge.org/	https://openreview.net/forum?id=Vk4-HUnkEak	Included in training set	@article{ji2022amos,   title={AMOS: A Large-Scale Abdominal Multi-Organ Benchmark for Versatile Medical Image Segmentation},   author={Ji, Yuanfeng and Bai, Haotian and Yang, Jie and Ge, Chongjian and Zhu, Ye and Zhang, Ruimao and Li, Zhen and Zhang, Lingyan and Ma, Wanling and Wan, Xiang and others},   journal={arXiv preprint arXiv:2206.08023},   year={2022} }
2019	CHAOS	Abdomen	CT	Abdomen organs	40	CC BY-NC	https://zenodo.org/records/3431873	https://www.sciencedirect.com/science/article/pii/S1361841520303145		@article{kavur2021chaos,   title={CHAOS challenge-combined (CT-MR) healthy abdominal organ segmentation},   author={Kavur, A Emre and Gezer, N Sinem and Bar{\i}{\c{s}}, Mustafa and Aslan, Sinem and Conze, Pierre-Henri and Groza, Vladimir and Pham, Duc Duy and Chatterjee, Soumick and Ernst, Philipp and {\"O}zkan, Sava{\c{s}} and others},   journal={Medical Image Analysis},   volume={69},   pages={101950},   year={2021} }
2019	CHAOS	Abdomen	MR	Abdomen organs	40	CC BY-NC	https://zenodo.org/records/3431873	https://www.sciencedirect.com/science/article/pii/S1361841520303145		@article{kavur2021chaos,   title={CHAOS challenge-combined (CT-MR) healthy abdominal organ segmentation},   author={Kavur, A Emre and Gezer, N Sinem and Bar{\i}{\c{s}}, Mustafa and Aslan, Sinem and Conze, Pierre-Henri and Groza, Vladimir and Pham, Duc Duy and Chatterjee, Soumick and Ernst, Philipp and {\"O}zkan, Sava{\c{s}} and others},   journal={Medical Image Analysis},   volume={69},   pages={101950},   year={2021} }
2020	Duke-Liver	Abdomen	MR	Abdomen organs	3717	Unknown	https://zenodo.org/records/7774566	https://pubs.rsna.org/doi/10.1148/ryai.220275	Authors are very responsive for data request	@article{macdonald2023duke,   title={Duke Liver Dataset: A publicly available liver MRI dataset with liver segmentation masks and series labels},   author={Macdonald, Jacob A and Zhu, Zhe and Konkel, Brandon and Mazurowski, Maciej A and Wiggins, Walter F and Bashir, Mustafa R},   journal={Radiology: Artificial Intelligence},   volume={5},   number={5},   pages={e220275},   year={2023} }
2014	CT Lymph Nodes	Chest, Abdomen	CT	lymph nodes, 	176	CC BY 3.0	https://wiki.cancerimagingarchive.net/pages/viewpage.action?pageId=19726546	https://doi.org/10.1007/978-3-319-10404-1_65	Included in training set	@inproceedings{roth2014new,   title={A new 2.5 D representation for lymph node detection using random sets of deep convolutional neural network observations},   author={Roth, Holger R and Lu, Le and Seff, Ari and Cherry, Kevin M and Hoffman, Joanne and Wang, Shijun and Liu, Jiamin and Turkbey, Evrim and Summers, Ronald M},   booktitle={Medical Image Computing and Computer-Assisted Intervention--MICCAI 2014: 17th International Conference, Boston, MA, USA, September 14-18, 2014, Proceedings, Part I 17},   pages={520--527},   year={2014} }
2020	m2caiSeg	Abdomen	Endoscopy	53 classes, panomic	307	CC BY-NC 4.0	https://www.kaggle.com/datasets/salmanmaq/m2caiseg	https://arxiv.org/abs/2008.10134	Included in training set	@article{maqbool2020m2caiseg,   title={m2caiSeg: Semantic Segmentation of Laparoscopic Images using Convolutional Neural Networks},   author={Maqbool, Salman and Riaz, Aqsa and Sajid, Hasan and Hasan, Osman},   journal={arXiv preprint arXiv:2008.10134},   year={2020} }
